model simulation_number drift_max_amp drift_exp_amp drift_l drift_epsilon diff_max_amp diff_exp_amp diff_l diff_epsilon v m xm_1 xm_2 xm_3 xm_4 xm_5 xm_6 xm_7 xm_8 xm_9 xm_10 xm_11 xm_12 xm_13 xm_14 xm_15
M1 1 5 5 2.82150707548421 0.001 1 0 5.5 0.001 0.696809566263198 15 -0.28716065450719 0.530121854639301 1.24625627290676 1.50152395503664 2.00309605380401 2.14809390689835 2.60835021814796 2.99586487259462 3.48008406539295 3.72895938211587 4.03327952229626 4.31872519630655 4.61000241160483 4.85383619345852 6.16980832629521
M1 2 5 5 3.99345872505672 0.001 1 0 3.65993160701266 0.001 0.701564406744348 15 0.887198306382409 0.056636861147259 0.675870021425729 0.889197406005676 2.14456565107285 2.26215395904938 2.86550006060414 2.99203095761238 3.11775766228463 3.08616234429001 3.07938047233754 3.27391708753249 3.58411670602774 4.62628385767242 5.26976764846025
M1 3 5 4.99807990889895 2.80524033668477 0.001 1 0 5.45921229874373 0.001 0.71130224783651 15 0.466405582112929 2.83508612863414 2.95163092598625 2.59914525656203 2.04068549235128 1.95099372433461 2.0945970262494 2.60227902135804 4.10941240513204 4.09056749173055 3.37323959711156 4.94002605062319 5.60798136981767 4.84405058443622 6.5888325438522
M1 4 5 4.88960970231964 3.48992783747959 0.001 1 0.00110303035127056 5.48480949725707 0.001 0.66530080433396 15 -0.179988807192816 0.45233958076089 1.09293349472624 1.69209739218692 1.98292387224393 2.08983623406938 2.2775610622151 2.71594024789454 2.93300600289796 3.19577107130415 3.45343220262564 3.97525615813692 4.40143965592328 4.89224677948622 5.33263177518093
M1 5 5 2.90902137104917 1.15173115862469 0.001 1 0 3.38819047072141 0.001 0.676976623929124 15 -0.0815364499037452 1.31030427087195 1.12355752896539 1.54565785509085 2.20733904946887 2.38011210954985 3.05655074305777 3.18675985470217 3.12617501197968 3.91135024137243 4.24213391724486 4.40299436940544 4.75615326223275 5.93452925448781 5.93279394695617
M1 6 5 5 2.862074375547 0.001 1 0 5.5 0.001 0.656430833676872 15 0.889905428184015 1.33950647660235 1.60515581724617 1.88815381496356 2.16848202233632 2.60318645268552 2.99471493656723 3.28243791013723 3.93661263262997 4.05487405499132 4.3412277433834 4.46693217046035 4.5488323117538 5.01830982766366 6.1388677735153
M1 7 5 4.51294554539709 3.72382070611529 0.001 1 0 2.13424388647325 0.001 0.700314803574453 15 -0.0653933239890967 0.0510512171520823 0.736817179503591 1.14700575546855 1.78937446237648 2.14279296371935 2.36734595814234 2.7399520237149 3.01735244742386 3.43914787123815 3.52083887465808 4.18390421504975 4.57366940190409 5.09673630581567 5.41046010438672
M1 8 5 5 2.90179136013089 0.001 1 0 1.82194417518263 0.001 0.691109755149311 15 0.649932582637335 1.73502512144507 2.29083467838232 2.06114974564178 2.17331715791596 2.02768764954955 2.43477302254449 2.83743315414552 4.29939691665738 4.5344175437593 4.5753298747371 3.80664813964686 3.85365909515967 4.23099936456329 5.73479791577551
M1 9 5 5 3.32519319550083 0.001 1 0 4.86942549769091 0.001 0.736770905632037 15 0.355412353832166 0.963203674115116 1.34128581988939 1.67395711620348 2.17169957698285 2.28816139833204 2.62722685451623 2.97063052202628 3.30645596331053 3.72176676060342 4.04033176262791 4.43052175523354 4.78246373020091 5.28401023502239 5.7044398428118
M1 10 5 5 3.76578454482726 0.001 1 0 5.5 0.001 0.686602634094538 15 -0.054661536713525 0.560226029656926 0.859664656263601 1.4083848177203 1.8599679926879 2.2407693935951 2.59680619305546 2.80126457621707 2.91951170298897 3.22929110059968 3.34583560608842 3.92614809455492 4.31718474415855 4.62832939604914 5.67746711832159
